company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
kia corp,000270,South Korea,2020-03-24 00:00:00,1396561,Annual,3.2,Elect Kim Deok-joong as Outside Director,Management,For,Against,,,,G,G
kia corp,000270,South Korea,2020-03-24 00:00:00,1396561,Annual,4,Elect Kim Deok-joong as a Member of Audit Committee,Management,For,Against,,,,G,G
las vegas sands corp,LVS,United States,2025-05-15 00:00:00,1950278,Annual,1.1,Elect Director Robert G. Goldstein,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
las vegas sands corp,LVS,United States,2025-05-15 00:00:00,1950278,Annual,1.5,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2025-05-15 00:00:00,1950278,Annual,1.7,Elect Director Lewis Kramer,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2025-05-15 00:00:00,1950278,Annual,1.8,Elect Director Alain Li,Management,For,Withhold,Position paper: Board diversity,Diversity contributes to the overall effectiveness of the board and is a sign of an effective nomination process. The board should ensure that it can bring a broad range of perspectives and approaches to its decision-making process. The board should have an appropriate balance of competencies and backgrounds.,S,,S
las vegas sands corp,LVS,United States,2025-05-15 00:00:00,1950278,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
las vegas sands corp,LVS,United States,2024-05-09 00:00:00,1841508,Annual,1.1,Elect Director Robert G. Goldstein,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
las vegas sands corp,LVS,United States,2024-05-09 00:00:00,1841508,Annual,1.4,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2024-05-09 00:00:00,1841508,Annual,1.6,Elect Director Lewis Kramer,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2024-05-09 00:00:00,1841508,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
las vegas sands corp,LVS,United States,2023-05-11 00:00:00,1737620,Annual,1.1,Elect Director Robert G. Goldstein,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
las vegas sands corp,LVS,United States,2023-05-11 00:00:00,1737620,Annual,1.4,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2023-05-11 00:00:00,1737620,Annual,1.7,Elect Director Lewis Kramer,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2023-05-11 00:00:00,1737620,Annual,1.8,Elect Director David F. Levi,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2023-05-11 00:00:00,1737620,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
las vegas sands corp,LVS,United States,2022-05-12 00:00:00,1629055,Annual,1.2,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2022-05-12 00:00:00,1629055,Annual,1.5,Elect Director Robert G. Goldstein,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
las vegas sands corp,LVS,United States,2022-05-12 00:00:00,1629055,Annual,1.7,Elect Director Charles A. Koppelman,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2022-05-12 00:00:00,1629055,Annual,1.9,Elect Director David F. Levi,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2022-05-12 00:00:00,1629055,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
las vegas sands corp,LVS,United States,2021-05-13 00:00:00,1525784,Annual,1.2,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2021-05-13 00:00:00,1525784,Annual,1.5,Elect Director Robert G. Goldstein,Management,For,Withhold,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
las vegas sands corp,LVS,United States,2021-05-13 00:00:00,1525784,Annual,1.8,Elect Director Charles A. Koppelman,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2021-05-13 00:00:00,1525784,Annual,1.10,Elect Director David F. Levi,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2021-05-13 00:00:00,1525784,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
las vegas sands corp,LVS,United States,2020-05-14 00:00:00,1415331,Annual,1.3,Elect Director Micheline Chau,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2020-05-14 00:00:00,1415331,Annual,1.8,Elect Director Charles A. Koppelman,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2020-05-14 00:00:00,1415331,Annual,1.10,Elect Director David F. Levi,Management,For,Withhold,Position paper: CEO remuneration,"Shareholders should have the right to seek changes to the board when it does not act in their best interest. We will consider whether the board has failed to act on material requests from shareholders, sought to circumvent shareholder proposals or implemented governance changes limiting shareholders’ rights without their approval. When voting on a proposal to discharge the board of responsibilities, we will consider whether any information raises reasonable doubt about the board’s actions. We will also take into considerations unsatisfactory financial and strategic performance, mismanaged risk-taking, unacceptable treatment of stakeholders or undesired environmental or social outcomes from company operations.",G,,G
las vegas sands corp,LVS,United States,2020-05-14 00:00:00,1415331,Annual,3,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
lear corp,LEA,United States,2020-05-21 00:00:00,1417163,Annual,4,Report on Human Rights Impact Assessment,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,S,S
lennar corp,LEN,United States,2025-04-09 00:00:00,1932482,Annual,1f,Elect Director Stuart Miller,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
lennar corp,LEN,United States,2025-04-09 00:00:00,1932482,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
lennar corp,LEN,United States,2025-04-09 00:00:00,1932482,Annual,4,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
lennar corp,LEN,United States,2025-04-09 00:00:00,1932482,Annual,5,Disclose GHG Emissions Reductions Targets for Full Value Chain,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
lennar corp,LEN,United States,2024-04-10 00:00:00,1827640,Annual,1g,Elect Director Stuart Miller,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
lennar corp,LEN,United States,2024-04-10 00:00:00,1827640,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
lennar corp,LEN,United States,2024-04-10 00:00:00,1827640,Annual,5,Report on Political Contributions,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,G,G
lennar corp,LEN,United States,2024-04-10 00:00:00,1827640,Annual,6,"Report on Effectiveness of Diversity, Equity, and Inclusion Efforts",Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,S,S
lennar corp,LEN,United States,2024-04-10 00:00:00,1827640,Annual,7,Report on Climate Change,Shareholder,Against,For,Position paper: Corporate sustainability reporting,"The board should account for material sustainability risks facing the company, and the broader environmental and social consequences of its operations and products. Sustainability disclosures should be aligned with applicable global reporting standards and frameworks to support investors in their analysis of risks and opportunities. Where a company’s disclosure does not meet our needs as a financial investor, we will consider supporting a well-founded shareholder proposal calling for reasonable disclosure. We will not support a shareholder proposal that appears to impose a strategy or prescribe detailed methods, unrealistic timeframes or targets for implementation.",ESG_mixed,E,E
lennar corp,LEN,United States,2023-04-12 00:00:00,1721557,Annual,5,Approve Recapitalization Plan for all Stock to Have One-vote per Share,Shareholder,Against,For,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
lennar corp,LEN,United States,2022-04-12 00:00:00,1614212,Annual,2,Advisory Vote to Ratify Named Executive Officers' Compensation,Management,For,Against,Position paper: CEO remuneration,"The board is responsible for attracting the right CEO and setting appropriate remuneration. A substantial proportion of annual remuneration should be provided as shares that are locked in for five to ten years, regardless of resignation or retirement. The board should provide transparency on total remuneration to avoid unacceptable outcomes. The board should ensure that all benefits have a clear business rationale. Pensionable income should constitute a minor part of total remuneration.",G,,G
lennar corp,LEN,United States,2022-04-12 00:00:00,1614212,Annual,5,Reduce Ownership Threshold for Shareholders to Call Special Meeting,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,G,G
lennar corp,LEN,United States,2021-04-07 00:00:00,1507956,Annual,4,Approve Recapitalization Plan for all Stock to Have One-vote per Share,Shareholder,Against,For,Position paper: Multiple share classes,"All shareholders should have the right to vote on fundamental corporate decisions, and voting rights should be proportionate to cash flow rights. Any unequal voting rights should be time-limited and aligned with cash flow rights over time.",G,,G
li auto inc,2015,Cayman Islands,2025-05-30 00:00:00,1959709,Annual,2,Elect Director Li Xiang,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
li auto inc,2015,Cayman Islands,2025-05-30 00:00:00,1959709,Annual,9,Approve PricewaterhouseCoopers and PricewaterhouseCoopers Zhong Tian LLP as Auditors and Authorize Board to Fix Their Remuneration,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
li auto inc,2015,Cayman Islands,2025-05-30 00:00:00,1951568,Annual,2,Elect Director Li Xiang,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
li auto inc,2015,Cayman Islands,2025-05-30 00:00:00,1951568,Annual,9,Approve PricewaterhouseCoopers and PricewaterhouseCoopers Zhong Tian LLP as Auditors and Authorize Board to Fix Their Remuneration,Management,For,Against,,The external auditor should act in an independent manner. We will consider the auditor’s independence and any concerns about the accounts or audit procedures. Excessive non-audit-related fees represent a potential conflict of interest and should be avoided.,,G,G
li auto inc,2015,Cayman Islands,2023-05-31 00:00:00,1740591,Annual,3,Elect Director Li Xiang,Management,For,Against,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
li auto inc,2015,Cayman Islands,2023-05-31 00:00:00,1740591,Annual,5,Elect Director Zhao Hongqiang,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
localiza rent a car sa,RENT3,Brazil,2024-04-30 00:00:00,1839371,Annual,5.3,Elect Juliano Lima Pinheiro as Fiscal Council Member and Marcos Villela Vieira as Alternate,Management,For,Abstain,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
localiza rent a car sa,RENT3,Brazil,2023-04-25 00:00:00,1734056,Annual,3.3,Elect Pierre Carvalho Magalhaes as Fiscal Council Member and Antonio Lopes Matoso as Alternate,Management,For,Abstain,Position paper: Board independence,"Board decisions that are particularly vulnerable to conflicts of interest should have additional safeguards. Management should not serve on the audit or remuneration committees. The audit committee should have a majority of independent, shareholder-elected members.",G,,G
localiza rent a car sa,RENT3,Brazil,2022-04-26 00:00:00,1626283,Annual,4.1,Elect Carla Alessandra Trematore as Fiscal Council Member and Juliano Lima Pinheiro as Alternate,Management,For,Abstain,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
localiza rent a car sa,RENT3,Brazil,2022-04-26 00:00:00,1626283,Annual,4.2,Elect Antonio de Padua Soares Policarpo as Fiscal Council Member and Pierre Carvalho Magalhaes as Alternate,Management,For,Abstain,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
localiza rent a car sa,RENT3,Brazil,2021-04-27 00:00:00,1522209,Annual,12.1,Elect Carla Alessandra Trematore as Fiscal Council Member and Juliano Lima Pinheiro as Alternate,Management,For,Abstain,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
localiza rent a car sa,RENT3,Brazil,2021-04-27 00:00:00,1522209,Annual,12.2,Elect Antonio de Padua Soares Policarpo as Fiscal Council Member and Marco Antonio Pereira,Management,For,Abstain,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
lpp sa,LPP,Poland,2024-11-15 00:00:00,1904919,Special,5,Elect Deputy CEO,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
lpp sa,LPP,Poland,2024-07-12 00:00:00,1878033,Annual,13,Elect Members of Management Board,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
lpp sa,LPP,Poland,2023-11-17 00:00:00,1798024,Special,5,Elect Deputy CEO,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,ESG_ambiguous,ESG_ambiguous
lpp sa,LPP,Poland,2023-06-30 00:00:00,1767357,Annual,16,Approve Co-Option of Jagoda Piechocka as Supervisory Board Member,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
lpp sa,LPP,Poland,2023-06-30 00:00:00,1767357,Annual,17.2,Elect Supervisory Board Members,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
lpp sa,LPP,Poland,2021-06-29 00:00:00,1553602,Annual,12,Elect Supervisory Board Member,Management,For,Against,,"The company should have a robust nomination and election process to ensure an effective board that is accountable to shareholders. Shareholders should be able to participate in frequent elections of all board members, preferably on an annual basis. The company should establish reasonable procedures for shareholders to include proposals in the meeting material distributed by the company, including proposing board candidates.",,G,G
